Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Khruahong, S., Kong, X., Sandrasegaran, K., Liu, L.","57194212506;8885549200;55405563200;57205661224;","Develop An Indoor Space Ontology for Finding Lost Properties for Location-Based Service of Smart City",2018,"ISCIT 2018 - 18th International Symposium on Communication and Information Technology",,, 8588014,"54","59",,,"10.1109/ISCIT.2018.8588014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061008716&doi=10.1109%2fISCIT.2018.8588014&partnerID=40&md5=8c8de59159beac158b6b5578eddde163",Conference Paper,"Final",,Scopus,2-s2.0-85061008716
"Dobrea, D.-M., Dobrea, M.-C.","8392365400;24469654800;","A warning wearable system used to identify poor body postures",2018,"Proceedings - 2018 Advances in Wireless and Optical Communications, RTUWO 2018",,, 8587900,"55","60",,,"10.1109/RTUWO.2018.8587900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061025709&doi=10.1109%2fRTUWO.2018.8587900&partnerID=40&md5=3d9da4cd542d3b57518bc5804f837e87",Conference Paper,"Final",,Scopus,2-s2.0-85061025709
"Teran, M., Carrillo, H., Parra, C.","57200209988;55373619400;36779002500;","WLAN-BLE Based Indoor Positioning System using Machine Learning Cloud Services",2018,"2018 IEEE 2nd Colombian Conference on Robotics and Automation, CCRA 2018",,, 8588127,"","",,,"10.1109/CCRA.2018.8588127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061011315&doi=10.1109%2fCCRA.2018.8588127&partnerID=40&md5=b16d11644e59a34a3c333855a3edbd83",Conference Paper,"Final",,Scopus,2-s2.0-85061011315
"Das, L.B., Raghu, V.C., Rao, K.T., Srinivas, P., Daniel, D., Nagireddy, G., Sravani, L.","56439118200;57205659808;57205660759;57205659167;57205663692;57205660694;57205431221;","Determination of Microlocation Using the BLE Protocol, and Wireless Sensor Networks",2018,"Proceedings on 2018 IEEE 3rd International Conference on Computing, Communication and Security, ICCCS 2018",,, 8586813,"64","69",,,"10.1109/CCCS.2018.8586813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061000037&doi=10.1109%2fCCCS.2018.8586813&partnerID=40&md5=db69fa4f716e706468cb6ac1a32b8ee0",Conference Paper,"Final",,Scopus,2-s2.0-85061000037
"Regulagadda, S.S., Nagaveni, S., Dutta, A.","57189002054;57205628751;55385430200;","A 550-ΜW, 2.4-GHz ZigBee/BLE Receiver Front End for IoT applications in 180-nm CMOS",2018,"2018 16th IEEE International New Circuits and Systems Conference, NEWCAS 2018",,, 8585629,"48","52",,,"10.1109/NEWCAS.2018.8585629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060844967&doi=10.1109%2fNEWCAS.2018.8585629&partnerID=40&md5=3a89b17e1541f6a9559bdead3a7b5854",Conference Paper,"Final",,Scopus,2-s2.0-85060844967
"Kuxdorf-Alkirata, N., Spathmann, O., Koch, O., Brückmann, D.","57193488339;55562206100;57205633549;6701420063;","Improved Energy Efficiency of Indoor Positioning Systems by Adaptive Sampling and Smart Post-processing of Sensor Data",2018,"2018 16th IEEE International New Circuits and Systems Conference, NEWCAS 2018",,, 8585429,"225","228",,,"10.1109/NEWCAS.2018.8585429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060875230&doi=10.1109%2fNEWCAS.2018.8585429&partnerID=40&md5=478a52c330ce12230a46ec3423c1bf0e",Conference Paper,"Final",,Scopus,2-s2.0-85060875230
"Vitale, N.H., Azin, M., Mohseni, P.","57188814100;23388619200;21742872300;","Live Demonstration: A Bluetooth Low Energy (BLE)-enabled Wireless Link for Bidirectional Communications with a Neural Microsystem",2018,"2018 IEEE Biomedical Circuits and Systems Conference, BioCAS 2018 - Proceedings",,, 8584703,"","",,,"10.1109/BIOCAS.2018.8584703","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060869724&doi=10.1109%2fBIOCAS.2018.8584703&partnerID=40&md5=1cedc0588c91aabcb917d407891be13f",Conference Paper,"Final",,Scopus,2-s2.0-85060869724
"Vitale, N.R., Azin, M., Mohseni, P.","57188814100;23388619200;21742872300;","A Bluetooth Low Energy (BLE)-enabled Wireless Link for Bidirectional Communications with a Neural Microsystem",2018,"2018 IEEE Biomedical Circuits and Systems Conference, BioCAS 2018 - Proceedings",,, 8584684,"","",,,"10.1109/BIOCAS.2018.8584684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060868053&doi=10.1109%2fBIOCAS.2018.8584684&partnerID=40&md5=f94a79a7e0c0f9e036024c6ef3655ea7",Conference Paper,"Final",,Scopus,2-s2.0-85060868053
"Reynolds, J., Ahmmed, P., Bozkurt, A.","55465987700;55844081500;7005378822;","Preliminary Evaluation of an Injectable Sensor for Subcutaneous Photoplethysmography in Animals",2018,"2018 IEEE Biomedical Circuits and Systems Conference, BioCAS 2018 - Proceedings",,, 8584775,"","",,,"10.1109/BIOCAS.2018.8584775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060888751&doi=10.1109%2fBIOCAS.2018.8584775&partnerID=40&md5=55be9f9aa477930d7a7b9fb13b1b248a",Conference Paper,"Final",,Scopus,2-s2.0-85060888751
"Sahadat, M.N., Sebkhi, N., Kong, F., Ghovanloo, M.","37124790100;55843691200;56640522900;6701322320;","Standalone Assistive System to Employ Multiple Remaining Abilities in People with Tetraplegia",2018,"2018 IEEE Biomedical Circuits and Systems Conference, BioCAS 2018 - Proceedings",,, 8584688,"","",,1,"10.1109/BIOCAS.2018.8584688","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060848423&doi=10.1109%2fBIOCAS.2018.8584688&partnerID=40&md5=c4518b2fb23cf1e48b2aa099747ddce5",Conference Paper,"Final",,Scopus,2-s2.0-85060848423
"Kanchwala, M.A., McCallum, G.A., Durand, D.M.","57205632816;56728020400;55454266800;","A Miniature Wireless Neural Recording System for Chronic Implantation in Freely Moving Animals",2018,"2018 IEEE Biomedical Circuits and Systems Conference, BioCAS 2018 - Proceedings",,, 8584701,"","",,,"10.1109/BIOCAS.2018.8584701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060863803&doi=10.1109%2fBIOCAS.2018.8584701&partnerID=40&md5=690fffec332257e635cea126a6691c17",Conference Paper,"Final",,Scopus,2-s2.0-85060863803
"Obreja, S.G., Aboul-Hassna, T., Mocanu, F.D., Vulpe, A.","16033412700;57205587845;57205578394;36344186700;","Indoor localization using radio beacon technology",2018,"2018 13th International Symposium on Electronics and Telecommunications, ISETC 2018 - Conference Proceedings",,, 8583888,"","",,1,"10.1109/ISETC.2018.8583888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060571268&doi=10.1109%2fISETC.2018.8583888&partnerID=40&md5=196b5e99c6352362521f4a6250068960",Conference Paper,"Final",,Scopus,2-s2.0-85060571268
"Bazzi, A., Zanella, A., Masini, B.M., Anadone, L., Moiraghi, P., Moiraghi, G.","8951294600;57201412747;6601953243;57205601496;57205596805;57205600812;","Experimental Characterization of a Low Power Device for IoT Applications: Micro.sp©",2018,"2018 IEEE Conference on Standards for Communications and Networking, CSCN 2018",,, 8581822,"","",,,"10.1109/CSCN.2018.8581822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060729770&doi=10.1109%2fCSCN.2018.8581822&partnerID=40&md5=abd07edbb9cfeb9c5a403784973e9e8c",Conference Paper,"Final",,Scopus,2-s2.0-85060729770
"Mohsin, N., Payandeh, S., Ho, D., Gelinas, J.P.","57201697990;7006688369;57205611395;57205617802;","Bluetooth Low Energy Based Activity Tracking of Patient",2018,"2018 15th International Conference on Control, Automation, Robotics and Vision, ICARCV 2018",,, 8581102,"1991","1996",,,"10.1109/ICARCV.2018.8581102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060785831&doi=10.1109%2fICARCV.2018.8581102&partnerID=40&md5=bf42b522f0abb34cdfdc9af9f9cf7344",Conference Paper,"Final",,Scopus,2-s2.0-85060785831
"Carhacioglu, O., Zand, P., Nabi, M.","57201554959;25961039800;23005668600;","Cooperative Coexistence of BLE and Time Slotted Channel Hopping Networks",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","2018-September",, 8580918,"","",,,"10.1109/PIMRC.2018.8580918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060512233&doi=10.1109%2fPIMRC.2018.8580918&partnerID=40&md5=3539d9c0cb0d9a58c65ae73f518b9760",Conference Paper,"Final",,Scopus,2-s2.0-85060512233
"Jin, X., Zhou, M., Tian, Z.","57201521827;55506126300;55506175400;","An Optimized Multi-quadric RBF based Fingerprint Interpolation Approach",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","2018-September",, 8580982,"594","595",,,"10.1109/PIMRC.2018.8580982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060550138&doi=10.1109%2fPIMRC.2018.8580982&partnerID=40&md5=ff13ae400f3d26feb178ac7236aee097",Conference Paper,"Final",,Scopus,2-s2.0-85060550138
"Monfared, S., Nguyen, T.-H., Petrillo, L., De Doncker, P., Horlin, F.","55546842100;56102216500;21835009900;7003647633;6602620171;","Experimental Demonstration of BLE Transmitter Positioning Based on AOA Estimation",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","2018-September",, 8580796,"856","859",,,"10.1109/PIMRC.2018.8580796","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060554734&doi=10.1109%2fPIMRC.2018.8580796&partnerID=40&md5=95240dd5e8f769600d50a43f7b23c5a1",Conference Paper,"Final",,Scopus,2-s2.0-85060554734
"Xu, W., Peng, Y.","57205560587;57205554406;","SharaBLE: A Software Framework for Shared Usage of BLE Devices over the Internet",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","2018-September",, 8580780,"381","385",,,"10.1109/PIMRC.2018.8580780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060546421&doi=10.1109%2fPIMRC.2018.8580780&partnerID=40&md5=cb7a787b17f18d7b43acdd27781c1ea7",Conference Paper,"Final",,Scopus,2-s2.0-85060546421
"Conceicao, F., Oualha, N., Zeghlache, D.","57201546819;24332388500;35564400700;","An Energy Model for the IoT: Secure Networking Perspective",2018,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC","2018-September",, 8580885,"","",,,"10.1109/PIMRC.2018.8580885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060548648&doi=10.1109%2fPIMRC.2018.8580885&partnerID=40&md5=fd008a822c57a6bfbd71f63227411b10",Conference Paper,"Final",,Scopus,2-s2.0-85060548648
"Benchemoul, M., Ferin, G., Rosinski, B., Bantignies, C., Hoang, T., Vince, P., Nguyen-Dinh, A.","57205575010;15922533100;57192063312;8605078000;57188639716;6602888261;6508288068;","Wireless Inertial Sensing Platform Self-Powered by Piezoelectric Energy Harvester for Industrial Predictive Maintenance",2018,"IEEE International Ultrasonics Symposium, IUS","2018-October",, 8580029,"","",,,"10.1109/ULTSYM.2018.8580029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060608222&doi=10.1109%2fULTSYM.2018.8580029&partnerID=40&md5=cb02860180c22f563badef299e508bf4",Conference Paper,"Final",,Scopus,2-s2.0-85060608222
"Martinez, C., Eras, L., Dominguez, F.","57205598520;57205596247;8338734700;","The Smart Doorbell: A proof-of-concept Implementation of a Bluetooth Mesh Network",2018,"2018 IEEE 3rd Ecuador Technical Chapters Meeting, ETCM 2018",,, 8580325,"","",,,"10.1109/ETCM.2018.8580325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060685735&doi=10.1109%2fETCM.2018.8580325&partnerID=40&md5=b41169644e3d3205ade44e61434d3f0d",Conference Paper,"Final",,Scopus,2-s2.0-85060685735
"Tsai, T.-Y., Hsu, C.-C., Chiang, H.-H., Wang, W.-Y.","57205506483;34770166800;7402271964;9332992400;","Mobile localization-based service based on rssi fingerprinting method by BLE technology",2018,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin","2018-September",, 8576227,"","",,,"10.1109/ICCE-Berlin.2018.8576227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060295200&doi=10.1109%2fICCE-Berlin.2018.8576227&partnerID=40&md5=0e2157d342845e033166ef73e1487df2",Conference Paper,"Final",,Scopus,2-s2.0-85060295200
"Naeemabadi, M., Dinesen, B., Najafi, S., Thogersen, M., Hansen, J.","57203428398;23469218600;57203435189;56543423100;57195603488;","Feasibility of employing AHRS algorithms in the real-time estimation of sensor orientation using low-cost and low sampling rate wearable sensors in IoT application",2018,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin","2018-September",, 8576239,"","",,,"10.1109/ICCE-Berlin.2018.8576239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060305265&doi=10.1109%2fICCE-Berlin.2018.8576239&partnerID=40&md5=fd5b6090c0297785aaf9646af56d1f3e",Conference Paper,"Final",,Scopus,2-s2.0-85060305265
"Leong, C.Y., Perumal, T., Peng, K.W., Yaakob, R.","26221272900;24491918300;57205509002;35114052600;","Enabling Indoor Localization with Internet of Things (IoT)",2018,"2018 IEEE 7th Global Conference on Consumer Electronics, GCCE 2018",,, 8574489,"537","540",,,"10.1109/GCCE.2018.8574489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060305397&doi=10.1109%2fGCCE.2018.8574489&partnerID=40&md5=e1b80a1b1932db9409dc8f43c9d12b30",Conference Paper,"Final",,Scopus,2-s2.0-85060305397
"Hangli, G., Hamada, T., Sumitomo, T., Koshizuka, N.","57205507155;57204397642;7004165935;7102007961;","PrecaElevator: Towards Zero-Waiting Time on Calling Elevator by Utilizing Context Aware Platform in Smart Building",2018,"2018 IEEE 7th Global Conference on Consumer Electronics, GCCE 2018",,, 8574706,"551","552",,,"10.1109/GCCE.2018.8574706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060279684&doi=10.1109%2fGCCE.2018.8574706&partnerID=40&md5=5700ce00cbce4780f8c02d29434fda88",Conference Paper,"Final",,Scopus,2-s2.0-85060279684
"Dsouza, A., Viittala, H., Hamalainen, M., Mucchi, L.","57205456808;24333598500;7102722291;6602637208;","Performance Comparison between ETSI SmartBAN and Bluetooth",2018,"International Symposium on Medical Information and Communication Technology, ISMICT","2018-March",, 8573708,"","",,1,"10.1109/ISMICT.2018.8573708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059128354&doi=10.1109%2fISMICT.2018.8573708&partnerID=40&md5=2d4651f38d8d3c54be4dd44aaa590f84",Conference Paper,"Final",,Scopus,2-s2.0-85059128354
"Cao, Y., Lu, X., Zhao, Z., Ji, X., Yan, Y.","57203481895;57203485165;57206782001;57205495801;57203481335;","Distance estimation methods in vehicular application: An experimental study",2018,"International Conference on Control, Automation and Systems","2018-October",, 8571688,"1752","1757",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060490213&partnerID=40&md5=5d9ec9d8c832f08535b9c9ab4fe42773",Conference Paper,"Final",,Scopus,2-s2.0-85060490213
"He, J., Xu, W., Chen, P.-K.","57205598002;57205602450;23974303900;","Using the Beacon Eechnology on Improvement of Inventory and Logistics Curriculum Training",2018,"1st IEEE International Conference on Knowledge Innovation and Invention, ICKII 2018",,, 8569140,"317","320",,,"10.1109/ICKII.2018.8569140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060711872&doi=10.1109%2fICKII.2018.8569140&partnerID=40&md5=a6178eb166c1d68d3a828cca5a256fb3",Conference Paper,"Final",,Scopus,2-s2.0-85060711872
"Gu, T., Mohapatra, P.","57205488884;24725118000;","BF-IoT: Securing the IoT networks via fingerprinting-based device authentication",2018,"Proceedings - 15th IEEE International Conference on Mobile Ad Hoc and Sensor Systems, MASS 2018",,, 08567569,"254","262",,,"10.1109/MASS.2018.00047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060252285&doi=10.1109%2fMASS.2018.00047&partnerID=40&md5=61b1183ff6b73084e50ffdd9afefdec6",Conference Paper,"Final",,Scopus,2-s2.0-85060252285
"Ayyalasomayajula, R., Vasisht, D., Bharadia, D.","57205528121;56355108600;50660948900;","BLoc: CSI-based accurate localization for BLE tags",2018,"CoNEXT 2018 - Proceedings of the 14th International Conference on Emerging Networking EXperiments and Technologies",,,,"126","138",,,"10.1145/3281411.3281428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060373642&doi=10.1145%2f3281411.3281428&partnerID=40&md5=911c39bb91b8fb56d5d573f1cd1dc4d8",Conference Paper,"Final",,Scopus,2-s2.0-85060373642
"Cao, Y., Lu, X., Zhao, Z., Ji, X., Yang, J., Pang, X.","57207378660;57203485165;57199102434;57207017890;57205489981;57205483190;","A comparative study of BLE-based fingerprint localization for vehicular application",2018,"Proceedings of 5th IEEE Conference on Ubiquitous Positioning, Indoor Navigation and Location-Based Services, UPINLBS 2018",,, 8559781,"","",,,"10.1109/UPINLBS.2018.8559781","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060219471&doi=10.1109%2fUPINLBS.2018.8559781&partnerID=40&md5=2077a0c4634d3287fd34312c8d9fd3d2",Conference Paper,"Final",,Scopus,2-s2.0-85060219471
"Dobrea, D.M., Dobrea, M.C.","8392365400;24469654800;","A Neuronal Model of the 3D Head Position Based on a Wearable System",2018,"EPE 2018 - Proceedings of the 2018 10th International Conference and Expositions on Electrical And Power Engineering",,, 8559815,"341","346",,2,"10.1109/ICEPE.2018.8559815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058219198&doi=10.1109%2fICEPE.2018.8559815&partnerID=40&md5=979937f9b44113e7a0177f80e668d6b2",Conference Paper,"Final",,Scopus,2-s2.0-85058219198
"Minami, Y., Kajikawa, N., Saka, R., Nakao, Y., Kohno, E., Kakuda, Y.","56645832400;57193614370;57205502521;57205505802;14632165000;7005630359;","Arbitration-based deadlock mitigation mechanism for fast connection establishment in autonomous self-organized bluetooth MANETs",2018,"Proceedings - 2018 IEEE SmartWorld, Ubiquitous Intelligence and Computing, Advanced and Trusted Computing, Scalable Computing and Communications, Cloud and Big Data Computing, Internet of People and Smart City Innovations, SmartWorld/UIC/ATC/ScalCom/CBDCom/IoP/SCI 2018",,, 8560254,"1611","1616",,1,"10.1109/SmartWorld.2018.00276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060296919&doi=10.1109%2fSmartWorld.2018.00276&partnerID=40&md5=e0033e7cd60a8cce968ffe08ee3de2be",Conference Paper,"Final",,Scopus,2-s2.0-85060296919
"Xiaodong, G., Jiwei, H., Siyu, L., Jianhua, L., Mingyi, D.","57200193840;57205495081;57190988589;56421893900;35099224300;","Indoor localization method of intelligent mobile terminal based on BIM",2018,"Proceedings of 5th IEEE Conference on Ubiquitous Positioning, Indoor Navigation and Location-Based Services, UPINLBS 2018",,, 8559731,"","",,,"10.1109/UPINLBS.2018.8559731","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060197825&doi=10.1109%2fUPINLBS.2018.8559731&partnerID=40&md5=e1478104ed54bace5c79d5a2d71d3cae",Conference Paper,"Final",,Scopus,2-s2.0-85060197825
"Baronti, P., Barsocchi, P., Chessa, S., Mavilia, F., Palumbo, F.","16047023900;24334179600;6701590804;56405486600;55506286900;","Indoor bluetooth low energy dataset for localization, tracking, occupancy, and social interaction",2018,"Sensors (Switzerland)","18","12", 4462,"","",,,"10.3390/s18124462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058872888&doi=10.3390%2fs18124462&partnerID=40&md5=bd6c089785db51d319a8d6215f39c60f",Article,"Final",Open Access,Scopus,2-s2.0-85058872888
"Garcia-Espinosa, E., Longoria-Gandara, O., Pegueros-Lepe, I., Veloz-Guerrero, A.","57189375177;56013644100;57205076246;53364535900;","Power consumption analysis of bluetooth low energy commercial products and their implications for IoT applications",2018,"Electronics (Switzerland)","7","12", 386,"","",,,"10.3390/electronics7120386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058482848&doi=10.3390%2felectronics7120386&partnerID=40&md5=7d8fd1309b57e0563e53eda7520f9ce4",Review,"Final",Open Access,Scopus,2-s2.0-85058482848
"Li, C.-C., Yuan, M.-S., Liao, C.-C., Lin, Y.-T., Chang, C.-H., Staszewski, R.B.","57192580647;56007553000;56816182100;57193748799;24821766200;6603716392;","All-digital PLL for bluetooth low energy using 32.768-kHz reference clock and ≤0.45-V Supply",2018,"IEEE Journal of Solid-State Circuits","53","12", 8490904,"3660","3671",,,"10.1109/JSSC.2018.2871632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055027119&doi=10.1109%2fJSSC.2018.2871632&partnerID=40&md5=8dbaf045b0bafdceb5280fe400b30b1a",Article,"Final",,Scopus,2-s2.0-85055027119
"Orujov, F., Maskeliūnas, R., Damaševičius, R., Wei, W., Li, Y.","57192083121;27467587600;6603451290;55045423600;57207042959;","Smartphone based intelligent indoor positioning using fuzzy logic",2018,"Future Generation Computer Systems","89",,,"335","348",,1,"10.1016/j.future.2018.06.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049472144&doi=10.1016%2fj.future.2018.06.030&partnerID=40&md5=085ea128b65f09c6956443d36fe108d1",Article,"Final",,Scopus,2-s2.0-85049472144
"Ke, C., Wu, M., Chan, Y., Lu, K.","15725373500;7405594547;57189989437;57205249927;","Developing a BLE beacon-based location system using location fingerprint positioning for smart home power management",2018,"Energies","11","12", 3464,"","",,,"10.3390/en11123464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059249863&doi=10.3390%2fen11123464&partnerID=40&md5=e89645d76151eb5a65396c494129f1ce",Article,"Final",Open Access,Scopus,2-s2.0-85059249863
"Liu, H., Sun, Z., Tang, D., Huang, H., Kaneko, T., Chen, Z., Deng, W., Wu, R., Okada, K.","57129135500;57201912692;57197717566;57201915788;56583263000;57206983254;37041123400;57207237291;57204813078;","A DPLL-Centric bluetooth low-energy transceiver with a 2.3-mW interference-tolerant hybrid-loop receiver in 65-nm CMOS",2018,"IEEE Journal of Solid-State Circuits","53","12", 8536409,"3672","3687",,,"10.1109/JSSC.2018.2878822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056602179&doi=10.1109%2fJSSC.2018.2878822&partnerID=40&md5=1c469819e09acd482cb897fb28a53bf1",Article,"Final",,Scopus,2-s2.0-85056602179
"Subedi, S., Pyun, J.-Y.","56810985300;7003538614;","Lightweight workload fingerprinting localization using affinity propagation clustering and gaussian process regression",2018,"Sensors (Switzerland)","18","12", 4267,"","",,,"10.3390/s18124267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058161871&doi=10.3390%2fs18124267&partnerID=40&md5=158f8ed9be2888c1b7a26493917f50a9",Article,"Final",Open Access,Scopus,2-s2.0-85058161871
"Liu, L.-S., Ni, J.-Q., Zhao, R.-Q., Shen, M.-X., He, C.-L., Lu, M.-Z.","52063492500;7201636752;7401975625;7401466284;57204641100;50361440400;","Design and test of a low-power acceleration sensor with Bluetooth Low Energy on ear tags for sow behaviour monitoring",2018,"Biosystems Engineering","176",,,"162","171",,,"10.1016/j.biosystemseng.2018.10.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056495637&doi=10.1016%2fj.biosystemseng.2018.10.011&partnerID=40&md5=c660e3fef7b18f29e3edccc1bb2b1733",Article,"Final",,Scopus,2-s2.0-85056495637
"Zhuang, Y., Yang, J., Qi, L., Li, Y., Cao, Y., El-Sheimy, N.","55803517700;57192451814;57188977889;55235286900;55470310200;6701545030;","A Pervasive Integration Platform of Low-Cost MEMS Sensors and Wireless Signals for Indoor Localization",2018,"IEEE Internet of Things Journal","5","6", 8231129,"4616","4631",,,"10.1109/JIOT.2017.2785338","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039808887&doi=10.1109%2fJIOT.2017.2785338&partnerID=40&md5=bc87c63a452af5f90c8a0f1e57f1d0f4",Article,"Final",,Scopus,2-s2.0-85039808887
"Liu, H., Tang, D., Sun, Z., Deng, W., Ngo, H.C., Okada, K.","57129135500;57197717566;57201912692;37041123400;57193751795;57204813078;","A Sub-mW Fractional-N ADPLL with FOM of -246 dB for IoT applications",2018,"IEEE Journal of Solid-State Circuits","53","12", 8536430,"3540","3552",,,"10.1109/JSSC.2018.2878836","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056595100&doi=10.1109%2fJSSC.2018.2878836&partnerID=40&md5=ded0f636a31b56063bb733605bc60efb",Article,"Final",,Scopus,2-s2.0-85056595100
"Uddin, M., Mukherjee, S., Chang, H., Lakshman, T.V.","55485799100;7401816231;7407521642;7004712165;","SDN-Based multi-protocol edge switching for IoT service automation",2018,"IEEE Journal on Selected Areas in Communications","36","12", 8470257,"2775","2786",,,"10.1109/JSAC.2018.2871325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054213901&doi=10.1109%2fJSAC.2018.2871325&partnerID=40&md5=51d3c43ce55fe9742c9cc66e2bce897e",Article,"Final",,Scopus,2-s2.0-85054213901
"Shao, W., Nguyen, T., Qin, K., Youssef, M., Salim, F.D.","57155834500;7404371852;57205676737;7102125877;7801420000;","BLEDoorGuard: A Device-Free Person Identification Framework Using Bluetooth Signals for Door Access",2018,"IEEE Internet of Things Journal","5","6", 8453777,"5227","5239",,1,"10.1109/JIOT.2018.2868243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052839961&doi=10.1109%2fJIOT.2018.2868243&partnerID=40&md5=237947af7b014ce2e1aa7700423e4641",Article,"Final",,Scopus,2-s2.0-85052839961
"Sikeridis, D., Rimal, B.P., Papapanagiotou, I., Devetsikiotis, M.","57200441918;35275587900;23103943900;35598790300;","Unsupervised Crowd-Assisted Learning Enabling Location-Aware Facilities",2018,"IEEE Internet of Things Journal","5","6", 8305452,"4699","4713",,2,"10.1109/JIOT.2018.2810808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042867644&doi=10.1109%2fJIOT.2018.2810808&partnerID=40&md5=4b0d2317c2a2eec47aa80a65f8182cbc",Article,"Final",,Scopus,2-s2.0-85042867644
"Ferreira, J.C., Resende, R., Martinho, S.","35481887000;35957058900;57204730076;","Beacons and BIM models for indoor guidance and location",2018,"Sensors (Switzerland)","18","12", 4374,"","",,1,"10.3390/s18124374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058504086&doi=10.3390%2fs18124374&partnerID=40&md5=9a7e4a911e520db0c2b0c45129acebb9",Article,"Final",Open Access,Scopus,2-s2.0-85058504086
"Beyer, S.M., Mullins, B.E., Graham, S.R., Bindewald, J.M.","57202253495;7003349058;8299605900;56394424100;","Pattern-of-Life Modeling in Smart Homes",2018,"IEEE Internet of Things Journal","5","6", 8365888,"5317","5325",,,"10.1109/JIOT.2018.2840451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047619273&doi=10.1109%2fJIOT.2018.2840451&partnerID=40&md5=99ae4fb90924c35d618b4e38b39de11f",Article,"Final",,Scopus,2-s2.0-85047619273
"Torii, H., Ibi, S., Sampei, S.","57205427371;8324120500;7004748293;","Indoor positioning and tracking by multi-point observations of BLE beacon signal",2018,"2018 15th Workshop on Positioning, Navigation and Communications, WPNC 2018",,, 8555808,"","",,,"10.1109/WPNC.2018.8555808","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059990802&doi=10.1109%2fWPNC.2018.8555808&partnerID=40&md5=259a2b247d55c6b901461bdb799c97d5",Conference Paper,"Final",,Scopus,2-s2.0-85059990802
