Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Anjana S., Sahana M.N., Ankith S., Natarajan K., Shobha K.R., Paventhan A.","An IoT based 6LoWPAN enabled experiment for water management",2016,"International Symposium on Advanced Networks and Telecommunication Systems, ANTS","2016-February",, 7413654,"","",,1,10.1109/ANTS.2015.7413654,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962161367&doi=10.1109%2fANTS.2015.7413654&partnerID=40&md5=2795468346457601ec225dc356b2c430","Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Education and Research Network India, Ministry of Communication and Information Technology, Bangalore, India","Anjana, S., Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Sahana, M.N., Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Ankith, S., Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Natarajan, K., Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Shobha, K.R., Department of Telecommunication Engineering, M S Ramaiah Institute of Technology, Bangalore, India; Paventhan, A., Education and Research Network India, Ministry of Communication and Information Technology, Bangalore, India","During the past decade, water needs have risen exponentially to an unprecedented scale in India. The demand for water supply is ever increasing and satisfying this requirement has been a major challenge for many countries around the world. Urbanization, climatic changes and wasteful usage has further depleted the resource. Water being one of the major requirements for human survival, conservation and management of the resource must be given utmost importance. Ensuring access to safe and clean water is another issue that requires attention. In this paper, we present an IPv6 network connected IoT design for real-time water flow metering and quality monitoring. Our prototype implementation uses CoAP for monitoring and control approach which supports internet based data collection. The system addresses new challenges in the water sector-ease of billing, fair billing and the need for a study of supply versus consumption of water in order to create awareness to curb water wastage and encourage its conservation. Automatic detection of leakage through any of the outlets is notified to the user. We also measure the quality of water distributed to every household by deploying pH and ORP sensors. The traditional water metering systems require periodic manual intervention for both metering and maintenance making it inconvenient and often least effective. Shortcomings of the existing models call for a ubiquitous usage of wireless systems for smart water flow metering and quality monitoring. We propose to do this with the aid of CC2538 motes programmed using ContikiOS to monitor the water consumption and communicate the data to a gateway wirelessly. © 2015 IEEE.","6LoWPAN; Contiki; IoT; IPv6; Water; Wireless","Flow measurement; Flow of water; Flowmeters; Gateways (computer networks); Human resource management; Hydraulics; Internet; Internet protocols; Radio; Water; Water management; Water quality; Water supply; 6LoWPAN; Automatic Detection; Contiki; IPv6; Manual intervention; Monitoring and control; Prototype implementations; Water metering systems; Internet of things",,,"IEEE Computer Society",21531684,9781509002931,,,"English","Int. Symp. Adv. Networks Telecommun. Syst., ANTS",Conference Paper,Scopus,2-s2.0-84962161367
"Sankaran S., Sridhar R.","Modeling and analysis of routing in IoT networks",2016,"2015 International Conference on Computing and Network Communications, CoCoNet 2015",,, 7411258,"649","655",,1,10.1109/CoCoNet.2015.7411258,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964828553&doi=10.1109%2fCoCoNet.2015.7411258&partnerID=40&md5=42f74af11e00ad4cc26dbde5ec84be83","Department of Computer Science and Engineering, Amrita University, Amritapuri, Kollam, India; Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, United States","Sankaran, S., Department of Computer Science and Engineering, Amrita University, Amritapuri, Kollam, India; Sridhar, R., Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY, United States","Internet of Things (IoTs) is gaining increasing significance due to real-time communication and decision making capabilties of sensors integrated into everyday objects. IoTs are power and bandwidth-constrained with applications in smarthome, healthcare, transportation and industrial domains. Routing bears significant importance in IoTs where sensors acting as hosts deliver data to the gateways which in turn impacts power consumption. Thus there exists a need for modeling and analysis of routing in IoT networks towards predicting power consumption. In this work, we develop an analytical model of a naive flooding based routing protocol using Markov chains. In particular, we derive steady state transition probabilities of transmit and receive states using protocol execution traces and further utilize them towards predicting power consumption. Our approach to modeling is generic in that it can be applied to routing protocols across domains. Evaluation of the model shows that the predicted values for power consumption lie closer to the actual observations obtained using ns-2 simulation thus resulting in minimal mean square errors. © 2015 IEEE.",,"Decision making; Electric power utilization; Markov processes; Mean square error; Network routing; Power management (telecommunication); Routing protocols; Bandwidth-constrained; Internet of thing (IoTs); Minimal mean square error; Model and analysis; NS-2 simulations; Protocol execution; Real-time communication; Steady state; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9781467373098,,,"English","Int. Conf. Comput. Netw. Commun., CoCoNet",Conference Paper,Scopus,2-s2.0-84964828553
"Nakutis Z., Deksnys V., Jaruevicius I., Marcinkevicius E., Ronkainen A., Soumi P., Nikander J., Blaszczyk T., Andersen B.","Remote Agriculture Automation Using Wireless Link and IoT Gateway Infrastructure",2016,"Proceedings - International Workshop on Database and Expert Systems Applications, DEXA","2016-February",, 7406276,"99","103",,1,10.1109/DEXA.2015.37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962275185&doi=10.1109%2fDEXA.2015.37&partnerID=40&md5=59eca8ab5a7e9a36119278a31d760a70","Electronics Engineering Dept., Electrical and Electronics Faculty, Kaunas University of Technology, Kaunas, Lithuania; Natural Resources Institute Finland, Green Technology, Vihti, Finland; Technical University of Denmark, Copenhagen, Denmark","Nakutis, Z., Electronics Engineering Dept., Electrical and Electronics Faculty, Kaunas University of Technology, Kaunas, Lithuania; Deksnys, V., Electronics Engineering Dept., Electrical and Electronics Faculty, Kaunas University of Technology, Kaunas, Lithuania; Jaruevicius, I., Electronics Engineering Dept., Electrical and Electronics Faculty, Kaunas University of Technology, Kaunas, Lithuania; Marcinkevicius, E., Electronics Engineering Dept., Electrical and Electronics Faculty, Kaunas University of Technology, Kaunas, Lithuania; Ronkainen, A., Natural Resources Institute Finland, Green Technology, Vihti, Finland; Soumi, P., Natural Resources Institute Finland, Green Technology, Vihti, Finland; Nikander, J., Natural Resources Institute Finland, Green Technology, Vihti, Finland; Blaszczyk, T., Technical University of Denmark, Copenhagen, Denmark; Andersen, B., Technical University of Denmark, Copenhagen, Denmark","The publication presents a system architecture for remote agriculture process automation, involving sensors and actuators connected to IoT gateway running OPC UA server. Sensors and actuators are very general and do not need any intelligence related to the process under control. Acquired data processing and control algorithms that produce control stimulus are executed in the gateway. This approach features the advantage of convenient possibilities to change control rules from Cloud services (installing or configuring process controller) without updating firmware of remote sensors/actuators. Throughput of data collection channel (long range radio) and IoT gateway performance are limiting factors for real time control or observation of agriculture processes. Therefore, achievable channel ""sensors-OPC UA server"" throughput is investigated experimentally. Potential agriculture applications that may benefit from the proposed architecture are identified. © 2015 IEEE.","automation; IoT; OPC UA; precision agriculture; wireless link","Actuators; Agriculture; Algorithms; Automation; Data handling; Expert systems; Firmware; Internet of things; Real time control; Reconfigurable hardware; Remote sensing; Agriculture applications; OPC UA; Precision Agriculture; Process controllers; Proposed architectures; Sensors and actuators; System architectures; Wireless link; Process control",,"Tjoa A.M.Spies M.Wagner R.R.","Institute of Electrical and Electronics Engineers Inc.",15294188,9781467375825,,,"English","Proc. Int. Workshop Database Expert Syst. Appl. DEXA",Conference Paper,Scopus,2-s2.0-84962275185
"Lin P.-C.","Optimal smart gateway deployment for the Internet of Things in smart home environments",2016,"2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015",,, 7398715,"273","274",,1,10.1109/GCCE.2015.7398715,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964983979&doi=10.1109%2fGCCE.2015.7398715&partnerID=40&md5=d31074366cf3e7a0cdbfe8a015767791","Department of Communications Engineering, Yuan Ze University, Taoyuan, Taiwan","Lin, P.-C., Department of Communications Engineering, Yuan Ze University, Taoyuan, Taiwan","For the Internet of Things In smart home environments, the smart gateway is the key component to collect/disseminate information from/to various sensors/actuators. In this study we investigate the smart gateway deployment problem in smart home environments. This problem is formulated as a constrained optimization problem with the objective to minimize the deployment cost subject to the constraints that all service areas should be covered. The smart gateway deployment problem under consideration is formulated as a binary integer programming problem. We solve it by the branch and bound method which could effectively reduce the complexity. © 2015 IEEE.","binary integer programming; Internet of Things (IoT); smart home","Automation; Bins; Branch and bound method; Constrained optimization; Consumer electronics; Integer programming; Intelligent buildings; Internet; Internet of things; Optimization; Problem solving; Reconfigurable hardware; Binary integer programming; Constrained optimi-zation problems; Deployment costs; Deployment problems; Internet of Things (IOT); Smart homes; Gateways (computer networks)","Lin, P.-C.; Department of Communications Engineering, Yuan Ze UniversityTaiwan; email: pclin@saturn.yzu.edu.tw",,"Institute of Electrical and Electronics Engineers Inc.",,9781479987511,,,"English","IEEE Glob. Conf. Consum. Electron., GCCE",Conference Paper,Scopus,2-s2.0-84964983979
"Datta S.K., Bonnet C.","Search engine based resource discovery framework for Internet of Things",2016,"2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015",,, 7398707,"83","85",,5,10.1109/GCCE.2015.7398707,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964988298&doi=10.1109%2fGCCE.2015.7398707&partnerID=40&md5=310c6c4cd7f9415793c89efc4ee9f7eb","Eurecom, France","Datta, S.K., Eurecom, France; Bonnet, C., Eurecom, France","This paper proposes a search engine based resource discovery framework for Internet of Things (IoT) to discover resources, their capabilities, properties and URIs to access them regardless of communication technology. There is a central registry to store configurations of resources and they are indexed. Based on discovery request parameters, the search engine «looks up» the indices and returns the URI(s) to directly access the resource(s). The functionalities of the proposed framework are exposed to the consumers using RESTful web services. The framework is generic enough to be deployed in cloud platforms, M2M gateways and lightweight mobile application running on smartphones. © 2015 IEEE.","Configuration management; Configuration registry; IoT; oneM2M architecture; Resource discovery; Search engine","Consumer electronics; Internet; Search engines; Web services; Cloud platforms; Communication technologies; Configuration management; Configuration registry; Internet of Things (IOT); Mobile applications; Resource discovery; RESTful Web services; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9781479987511,,,"English","IEEE Glob. Conf. Consum. Electron., GCCE",Conference Paper,Scopus,2-s2.0-84964988298
"Perumal T., Datta S.K., Bonnet C.","IoT device management framework for smart home scenarios",2016,"2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015",,, 7398711,"54","55",,6,10.1109/GCCE.2015.7398711,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964956262&doi=10.1109%2fGCCE.2015.7398711&partnerID=40&md5=eef9d78b95e1b1f0d3605b3f37dca1c0","Universiti Putra Malaysia, Malaysia; Eurecom, France","Perumal, T., Universiti Putra Malaysia, Malaysia; Datta, S.K., Eurecom, France; Bonnet, C., Eurecom, France","The paradigm of the Internet of Things (IoT) requires pervasive connectivity to billions of heterogeneous devices. In recent time, rapid growth of IoT devices in smart home environment envisioned a wide range of novel services and applications. However, due to the inherent heterogeneity, home environment is becoming complex making device management extremely difficult. This paper proposes a lightweight IoT device management framework for smart home services. The framework can be deployed at home gateways and consumer smart devices. A prototype implementation and performance evaluation results are also presented. © 2015 IEEE.","Device management; IoT; Smart home","Automation; Consumer electronics; Intelligent buildings; Telecommunication services; Device management; Heterogeneous devices; Internet of thing (IOT); Pervasive connectivity; Prototype implementations; Services and applications; Smart home services; Smart homes; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9781479987511,,,"English","IEEE Glob. Conf. Consum. Electron., GCCE",Conference Paper,Scopus,2-s2.0-84964956262
[No author name available],"2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015",2016,"2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015",,,,"","",786,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964922606&partnerID=40&md5=b56a0797de5f560ff3548135f7709ce1",,"","The proceedings contain 251 papers. The topics discussed include: assessing and counteracting the effects of interference on GNSS signals; blockchain contract: a complete consensus using blockchain; computer Maka Dai Shogi; multi-task reinforcement learning with associative memory models considering the multiple distributions of MDPs; a study of distributed routing path using dynamic density in mobile networks; document classification for copy-mode decision; a visualization by innovated squarified treemap for somatosensory data analysis; BCI-based control of electric wheelchair; optimal smart gateway deployment for the Internet of things in smart home environments; a smart pill box with remind and consumption confirmation functions; future 3D audio technologies for consumer use; IoT device management framework for smart home scenarios; and cloud based VR system with immersive interfaces to collect multimodal data in human-robot interaction.",,,,,"Institute of Electrical and Electronics Engineers Inc.",,9781479987511,,,"English","IEEE Glob. Conf. Consum. Electron., GCCE",Conference Review,Scopus,2-s2.0-84964922606
"Jayavel K., Nagarajan V.","Survey of migration, integration and interconnection techniques of data centric networks to internet-towards Internet of Things (IoT)",2016,"Indian Journal of Science and Technology","9","8",,"","",7,1,10.17485/ijst/2016/v9i8/87924,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961990427&doi=10.17485%2fijst%2f2016%2fv9i8%2f87924&partnerID=40&md5=106908c2455143da8a7e4fbac22f4f9b","Department of Information Technology, SRM University, Kattankulathur, Tamil Nadu, India; Department of Computer Science, SRM University, Kattankulathur, Tamil Nadu, India","Jayavel, K., Department of Information Technology, SRM University, Kattankulathur, Tamil Nadu, India; Nagarajan, V., Department of Computer Science, SRM University, Kattankulathur, Tamil Nadu, India","Background/Objectives: Internet of Things aims at creating web of things connecting anything, anytime and anywhere also embracing Cyber-physical systems. Methods/Statistical Analysis: The underlying data source being sensors or interconnection of them, predominantly communicating wirelessly (WSN), our paper attempts to survey and analyze all the interconnection models that provide information to the users exploiting or extracting information at their own capacities. We have grounded our survey based on the role of gateway and nodes, hops, connection points, robustness, suitability, resilience, scalability, topology and their adaptability towards IoT. Findings: As of now surveys have been made in silos like various interconnection techniques or migration techniques for Wireless Sensor Networks, to the best of our knowledge not much have been proposed about the feasible interconnection model towards Internet of Things. Our paper attempts to fill this gap and we have also studied the possible adaptation and integration of techniques like Software Defined Networks and virtualization towards Internet of Things. Software defined networks can provide us the much needed control for the Internet of Things and virtualization can provide us with re-usability. We have also highlighted how we can visualize a sensor node as a service or as a database. As of now very less work has been carried out about integration of these towards Web of Things. Applications/Improvements: We are also developing an architecture incorporating these layers namely the SDN and the virtualization and we have planned to test it using real time deployment in future.","Data centric networks; Integration of WSN to IoT; Internet of Things (IoT); Software Defined Network (SDN); Survey of interconnection techniques; Virtualization",,"Jayavel, K.; Department of Information Technology, SRM UniversityIndia; email: kayalvizhi.j@ktr.srmuniv.ac.in",,"Indian Society for Education and Environment",09746846,,,,"English","Indian J. Sci. Technol.",Article,Scopus,2-s2.0-84961990427
"Kim H.-S., Seo J.-S., Seo J.","A daily activity monitoring system for internet of things-assisted livingin home area networks",2016,"International Journal of Electrical and Computer Engineering","6","1",,"399","405",,3,10.11591/ijece.v6i1.9339,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960126834&doi=10.11591%2fijece.v6i1.9339&partnerID=40&md5=5b6e293b95d204fbe77ce756844e1ac7","School of Electrical and Electronic Engineering, Yonsei University, South Korea; Department of Information and Communication Engineering, Namseoul University, 91 Daehakro, Seonghwan-eup, Seobuk-gu, Cheonan-si, Chungnam, South Korea","Kim, H.-S., School of Electrical and Electronic Engineering, Yonsei University, South Korea; Seo, J.-S., School of Electrical and Electronic Engineering, Yonsei University, South Korea; Seo, J., Department of Information and Communication Engineering, Namseoul University, 91 Daehakro, Seonghwan-eup, Seobuk-gu, Cheonan-si, Chungnam, South Korea","In this paper, a daily activity monitoring system for Internet of Things (IoT)- assisted living in home area networks is proposed in order to provide care for elderly people who live alone. The proposed system consists of two main parts: an IoT-assisted living space with contactless activity sensors, a help trigger, and an emergency gateway and a daily activity monitoring server witha range of components including data collection, event and user management, activity analysis and reporting, and so on. The contactless activity sensors can be placed any where in the home, and the emergency gateway collects data from them, detects emergency situations reported through the help trigger, and communicates with the daily activity monitoring server. The server analyzes and reports the daily activities and activity patterns of elderly users using a predefined activity index. In addition, unexpected emergency situations can be estimated and prevented through analysis of the activity information. Copyright © 2016 Institute of Advanced Engineering and Science. All rights reserved.","Activity monitoring; Elderly people; Healthcare; Home care network; Internet of things",,"Seo, J.; Department of Information and Communication Engineering, Namseoul University, 91 Daehakro, South Korea; email: jwseo@nsu.ac.kr",,"Institute of Advanced Engineering and Science",20888708,,,,"English","Int. J. Electr. Comput. Eng.",Article,Scopus,2-s2.0-84960126834
"Horvat I., Lukac N., Pavlovic R., Starcevic D.","Smart plug solution based on bluetooth low energy",2016,"5th IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin 2015",,, 7391301,"435","437",,2,10.1109/ICCE-Berlin.2015.7391301,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977670136&doi=10.1109%2fICCE-Berlin.2015.7391301&partnerID=40&md5=6667309c08fd9da57a6e7b6286950543","Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; RT-RK Institute for Computer Based Systems, Novi Sad, Serbia","Horvat, I., Faculty of Technical Sciences, University of Novi Sad, Novi Sad, Serbia; Lukac, N., RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; Pavlovic, R., RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; Starcevic, D., RT-RK Institute for Computer Based Systems, Novi Sad, Serbia","This paper presents the complete solution for controlling and monitoring household products by using Bluetooth low energy (BLE) Smart Plug as a referent device, and an application implemented on Android OS. Unlike some other communication protocols, the Bluetooth Low Energy allows controlling devices directly from a tablet or a smart phone, without any requirements for additional gateways. The Smart Plug provides application programming interface (API) for control and power consumption measurement based on Generic Attribute Profile (GATT). Besides from standard on/off functionality, this solution enables user to monitor various power consumption parameters and, to have delayed control by using built in timer and power limitation. © 2015 IEEE.","Android; Bluetooth Low Energy; Home Automation; Internet of Things; Smart Plug","Application programming interfaces (API); Bluetooth; Consumer electronics; Electric power utilization; Internet of things; Smartphones; Android; Bluetooth low energies (BLE); Bluetooth low energies (BTLE); Consumption measurement; Controlling devices; Home automation; Power consumption parameters; Smart plugs; Android (operating system)","Horvat, I.; Faculty of Technical Sciences, University of Novi SadSerbia; email: igor.horvat@rt-rk.com","Flores-Arias J.M.Mozar S.Hepper D.Bjelica M.Z.Cycon H.L.","Institute of Electrical and Electronics Engineers Inc.",,9781479987481,,,"English","IEEE Int. Conf. Consumer Electron. Ã¢ÂÂ Berlin, ICCE-Berlin",Conference Paper,Scopus,2-s2.0-84977670136
"Bouaziz M., Rachedi A.","A survey on mobility management protocols in Wireless Sensor Networks based on 6LoWPAN technology",2016,"Computer Communications","74",,,"3","15",,17,10.1016/j.comcom.2014.10.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960441761&doi=10.1016%2fj.comcom.2014.10.004&partnerID=40&md5=586e19b65a1b580b0aa1e0cb49e7b191","University of Manouba, Hana Research Laboratory, Manouba, Tunisia; Université Paris-Est, LIGM (UMR8049), UPEM, Marne-la-Vallée, France","Bouaziz, M., University of Manouba, Hana Research Laboratory, Manouba, Tunisia; Rachedi, A., Université Paris-Est, LIGM (UMR8049), UPEM, Marne-la-Vallée, France","Mobility has the advantage of enlarging the WSN applications of the Internet of Things. However, proposing a mobility support protocol in Wireless Sensor Networks (WSNs) represents a significant challenge. In this paper, we proposed a survey on mobility management protocols in WSNs based on 6LoWPAN technology. This technology enables to connect IP sensor devices to other IP networks without any need for gateways. We highlighted the advantages and drawbacks with performances issues of each studied solution. Then, in order to select a typical classification of mobility management protocols in WSNs, we provided some classification criteria and approaches on which these protocols are based. Finally, we presented a comparative study of the existing protocols in terms of the required performances for this network type. © 2014 Elsevier B.V.","6LoWPAN; Classification criteria; Comparative study; Mobility support protocol; Wireless Sensor Network","Surveys; 6LoWPAN; Classification criterion; Comparative studies; Mobility management protocol; Mobility support protocol; Network types; Wireless sensor network (WSNs); Wsn applications; Wireless sensor networks","Rachedi, A.; Université Paris-Est, LIGM (UMR8049), UPEMFrance; email: rachedi@univ-mlv.fr",,"Elsevier",01403664,,COCOD,,"English","Comput Commun",Article,Scopus,2-s2.0-84960441761
"Stusek M., Hosek J., Kovac D., Masek P., Cika P., Masek J., Kropfl F.","Performance analysis of the OSGi-based IoT frameworks on restricted devices as enablers for connected-home",2016,"International Congress on Ultra Modern Telecommunications and Control Systems and Workshops","2016-January",, 7382424,"178","183",,4,10.1109/ICUMT.2015.7382424,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964652365&doi=10.1109%2fICUMT.2015.7382424&partnerID=40&md5=b3ca33b34710e3ffa75bbb0fc5170ecd","Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Brno University of Technology, Institute of Structural Mechanics, Veveri 331/95, Brno, Czech Republic; Telekom Austria Group, Lassallestraße 9, Wien, Austria","Stusek, M., Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Hosek, J., Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Kovac, D., Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Masek, P., Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Cika, P., Brno University of Technology, Department of Telecommunications, Technicka 12, Brno, Czech Republic; Masek, J., Brno University of Technology, Institute of Structural Mechanics, Veveri 331/95, Brno, Czech Republic; Kropfl, F., Telekom Austria Group, Lassallestraße 9, Wien, Austria","The connected-home ecosystem is currently one of the highly discussed applications of Internet of Things (IoT) paradigm. Usually, this scenario is based on a center-point (so called smart home gateway) which provides the bridging connectivity inside (with the sensors) and outside (with the remote applications) the home. Such gateway is usually a restricted device running on Linux-based operating system (e.g. OpenWRT) including required applications on the top of it. In this paper, we focus on OSGi framework as currently very preferable platform for IoT services in combination with Raspberry Pi embedded hardware board which is also very popular for assuring the gateway features in the smart home. The performance analysis of three selected OSGi frameworks is provided with the aim to critically evaluate the most suitable candidate to become a solid enabler for the connected-home. Since HTTP is the most frequently applied communication protocol for data exchange between smart home gateway and any remote (cloud) application, a particular focus is given to the testing of three implementations of HTTP servers running as OSGi bundles on the gateway. All the obtained results including practical outputs are concluded at the end of our paper. © 2015 IEEE.",,"Automation; Computer operating systems; Control systems; Electronic data interchange; Gateways (computer networks); HTTP; Hypertext systems; Intelligent buildings; Reconfigurable hardware; Connected home; Embedded hardware; Internet of Things (IOT); Iot services; OSGi framework; Performance analysis; Remote applications; Smart homes; Internet of things",,,"IEEE Computer Society",21570221,9781467392839,,,"English","Int. Cong. Ultra Mod.Telecommun. Control Syst. Workshops",Conference Paper,Scopus,2-s2.0-84964652365
"Taneja M.","A mobility analytics framework for Internet of Things",2016,"Proceedings of the 2015 International Conference on Green Computing and Internet of Things, ICGCIoT 2015",,, 7380440,"113","118",,1,10.1109/ICGCIoT.2015.7380440,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966559883&doi=10.1109%2fICGCIoT.2015.7380440&partnerID=40&md5=252f0ac677c2154ac2ca81c91db2202b","Cisco Systems, Bangalore, India","Taneja, M., Cisco Systems, Bangalore, India","In a mobile IoT system, IoT devices are located in a moving vehicle such as in a car, in a mobile robot or in an Unmanned Aerial Vehicle (UAV). An IoT Gateway aggregates data from various IoT devices located in a moving vehicle and its surroundings. This GW could also be located in the vehicle itself. We consider infrastructure as well as ad-hoc mode scenarios here. In infrastructure mode, this mobile IoT GW can communicate with multiple analytics servers to run distributed analytics applications. In ad-hoc mode scenarios, internet connectivity is not assured and analytics applications may need to be run on one or more Gateway nodes. In both these modes, IoT analytics server gets variety of parameters providing contextual, mobility, performance and other type of information from IoT GW nodes and end-devices. In this paper, we first enhance an existing mobility analytics framework to do mobility analytics of mobile IoT GW nodes (along with IoT end-devices). We also analyze different types of analytics applications in this framework. This framework allows an IoT operator or end-user to take variety of decisions in a unified way in infrastructure mode of operation. We also present our initial work for ad-hoc mode of operation where one or more IoT Gateway nodes are involved in carrying out analytics related processing. © 2015 IEEE.","Internet of Things (IoT); Mobility Analytics; Protocols","Gateways (computer networks); Internet; Internet protocols; Network protocols; Reconfigurable hardware; Unmanned aerial vehicles (UAV); Vehicles; Ad hoc mode; End users; End-devices; Gateway nodes; Infrastructure modes; Internet connectivity; Internet of Things (IOT); Moving vehicles; Internet of things","Taneja, M.; Cisco SystemsIndia; email: mukesht@ieee.org",,"Institute of Electrical and Electronics Engineers Inc.",,9781467379090,,,"English","Proc. Int. Conf. Green Comput. Internet Things, ICGCIoT 2015",Conference Paper,Scopus,2-s2.0-84966559883
"Hans V., Sethi P.S., Kinra J.","An approach to IoT based car parking and reservation system on Cloud",2016,"Proceedings of the 2015 International Conference on Green Computing and Internet of Things, ICGCIoT 2015",,, 7380487,"352","354",,1,10.1109/ICGCIoT.2015.7380487,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966601901&doi=10.1109%2fICGCIoT.2015.7380487&partnerID=40&md5=a854120f2218ce0e4d36dcd0993e66a5","Centre of Information Technology, University of Petroleum and Energy Studies, Dehradun, India","Hans, V., Centre of Information Technology, University of Petroleum and Energy Studies, Dehradun, India; Sethi, P.S., Centre of Information Technology, University of Petroleum and Energy Studies, Dehradun, India; Kinra, J., Centre of Information Technology, University of Petroleum and Energy Studies, Dehradun, India","This paper introduces the concept of using IoT and Cloud based technology in car parking services in cities. A high-level view of the proposed system is outlined. Our solution makes the ancient parking system smarter by leveraging the power of IoT and embedding it with the latest innovation of electronic sensors & computers. An IoT-based intelligent car parking system is described. A number of software solutions, including Python, PHP web gateway with MySQL database, Cloud based storage and mobile applications, are proposed to provide pleasant parking experience to mobile users. Also, Data generated by the sensors, Image detection cameras and mobile application will be used to gain insights by storing it in cloud foundry and applying Big Data analytics using Hadoop. © 2015 IEEE.","Big Data; Car Parking; Cloud Computing; Cloud Foundry; Hadoop; Internet of Things(IoT); smart cities","Application programs; Big data; Cloud computing; Computer software; Digital storage; Foundries; Garages (parking); Gateways (computer networks); Internet; Mobile computing; Mobile telecommunication systems; Platform as a Service (PaaS); Reservation systems; Car parking; Electronic sensors; Hadoop; Intelligent cars; Internet of Things (IOT); Mobile applications; Smart cities; Software solution; Internet of things",,,"Institute of Electrical and Electronics Engineers Inc.",,9781467379090,,,"English","Proc. Int. Conf. Green Comput. Internet Things, ICGCIoT 2015",Conference Paper,Scopus,2-s2.0-84966601901
"Lukas, Tanumihardja W.A., Gunawan E.","On the application of IoT: Monitoring of troughs water level using WSN",2016,"2015 IEEE Conference on Wireless Sensors, ICWiSE 2015",,, 7380354,"58","62",,7,10.1109/ICWISE.2015.7380354,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969800891&doi=10.1109%2fICWISE.2015.7380354&partnerID=40&md5=eb242df9f53fc99af76bc8e72449da61","Faculty of Engineering, Universitas Katolik Indonesia Atma Jaya, Jakarta, Indonesia; Red Diamond Laboratories, BSD City, Tangerang, Indonesia","Lukas, Faculty of Engineering, Universitas Katolik Indonesia Atma Jaya, Jakarta, Indonesia; Tanumihardja, W.A., Red Diamond Laboratories, BSD City, Tangerang, Indonesia; Gunawan, E., Red Diamond Laboratories, BSD City, Tangerang, Indonesia","The need of monitoring the water level of troughs is increasing. This is parallel with the growing of Wireless Sensor Network and Internet of Thing. By combining both approach, cattlemen can monitoring their troughs ubiquitous using their own personal device. This paper develop such system by using LoRa™ as the media between sensor hub and nodes, while Raspberry Pi is used as the gateway to push data into server. We have successfully tested the functionality of node to hub join mechanism, where a node should join to the closest hub, which marked by the highest RSSI of beacon signal. The designed system is able to wirelessly sense trough water level up to 50 simulated nodes. © 2015 IEEE.","ATMEGA; Internet of Thing; LoRa™; Raspberry Pi; RFM95; Wireless Sensor Network","Gateways (computer networks); Internet; Internet of things; Sensor nodes; Water levels; Application of iot; ATMEGA; Beacon signals; Personal devices; RFM95; Wireless sensor networks",,,"Institute of Electrical and Electronics Engineers Inc.",,9781467393980,,,"English","IEEE Conf. Wirel. Sens., ICWiSE",Conference Paper,Scopus,2-s2.0-84969800891
